date,block,tunnel,trt,cane,n_lesions,lesion_length_1(cm),lesion_length_2(cm),lesion_length_3(cm),status,notes
2018-11-07,5,3-row,control,2,0,lesion later,no lesion,no lesion,no data now yes later,
2018-11-28,5,3-row,control,2,1,1.27,no lesion,no lesion,,
2018-10-17,5,3-row,control,3,0,lesion later,lesion later,no lesion,no data now yes later,
2018-11-07,5,3-row,control,3,0,lesion later,lesion later,no lesion,no data now yes later,
2018-11-28,5,3-row,control,3,2,10.16,13.0175,no lesion,,
2018-10-17,5,3-row,control,4,0,lesion later,no lesion,no lesion,no data now yes later,
2018-11-07,5,3-row,control,4,0,lesion later,no lesion,no lesion,no data now yes later,
2018-11-28,5,3-row,control,4,1,7.62,no lesion,no lesion,,
2018-10-17,5,3-row,control,5,0,lesion later,no lesion,no lesion,no data now yes later,
2018-11-07,5,3-row,control,5,0,lesion later,no lesion,no lesion,no data now yes later,
2018-11-28,5,3-row,control,5,1,9.2075,no lesion,no lesion,,
2018-10-17,5,3-row,control,6,0,lesion later,no lesion,no lesion,no data now yes later,
2018-11-07,5,3-row,control,6,1,5.08,no lesion,no lesion,,
2018-11-28,5,3-row,control,6,1,5.08,no lesion,no lesion,,
2018-10-17,5,3-row,control,7,0,lesion later,no lesion,no lesion,no data now yes later,
2018-11-07,5,3-row,control,7,0,lesion later,no lesion,no lesion,no data now yes later,
2018-11-28,5,3-row,control,7,1,1.5875,no lesion,no lesion,,
2018-10-17,5,3-row,control,8,0,lesion later,no lesion,no lesion,no data now yes later,
2018-11-07,5,3-row,control,8,0,lesion later,no lesion,no lesion,no data now yes later,
2018-11-28,5,3-row,control,8,1,2.2225,no lesion,no lesion,,
2018-10-17,5,3-row,control,9,0,lesion later,no lesion,no lesion,no data now yes later,
2018-11-07,5,3-row,control,9,0,lesion later,no lesion,no lesion,no data now yes later,
2018-11-28,5,3-row,control,9,1,3.175,no lesion,no lesion,,
2018-10-17,5,3-row,control,10,0,lesion later,no lesion,no lesion,no data now yes later,
2018-11-07,5,3-row,control,10,0,lesion later,no lesion,no lesion,no data now yes later,
2018-11-28,5,3-row,control,10,1,2.8575,no lesion,no lesion,,
2018-10-17,1,3-row,manual,1,1,8.255,no lesion,no lesion,,
2018-11-07,1,3-row,manual,1,1,30.48,no lesion,no lesion,,
2018-11-28,1,3-row,manual,1,1,51.435,no lesion,no lesion,,
2018-10-17,1,3-row,manual,2,0,lesion later,no lesion,no lesion,no data now yes later,
2018-11-07,1,3-row,manual,2,1,4.445,no lesion,no lesion,,
2018-11-28,1,3-row,manual,2,1,5.715,no lesion,no lesion,,
2018-10-17,1,3-row,manual,3,0,lesion later,no lesion,no lesion,no data now yes later,
2018-11-07,1,3-row,manual,3,1,2.69875,no lesion,no lesion,,
2018-11-28,1,3-row,manual,3,1,9.525,no lesion,no lesion,,
2018-10-17,1,3-row,manual,4,0,lesion later,no lesion,no lesion,no data now yes later,
2018-11-07,1,3-row,manual,4,0,lesion later,no lesion,no lesion,no data now yes later,
2018-11-28,1,3-row,manual,4,1,2.2225,no lesion,no lesion,,
2018-10-17,1,3-row,manual,5,0,no lesion,no lesion,no lesion,no data all dates,
2018-11-07,1,3-row,manual,5,0,no lesion,no lesion,no lesion,no data all dates,
2018-11-28,1,3-row,manual,5,0,no lesion,no lesion,no lesion,no data all dates,
2018-10-17,1,3-row,manual,6,1,7.62,no lesion,no lesion,,
2018-11-07,1,3-row,manual,6,1,31.75,no lesion,no lesion,,
2018-11-28,1,3-row,manual,6,1,52.07,no lesion,no lesion,,bleaching
2018-10-17,1,3-row,manual,7,1,6.985,no lesion,no lesion,,
2018-11-07,1,3-row,manual,7,1,21.59,no lesion,no lesion,,
2018-11-28,1,3-row,manual,7,1,43.18,no lesion,no lesion,,
2018-10-17,1,3-row,manual,8,1,5.08,no lesion,no lesion,,
2018-11-07,1,3-row,manual,8,1,26.035,no lesion,no lesion,,
2018-11-28,1,3-row,manual,8,1,48.26,no lesion,no lesion,,bleaching
2018-10-17,1,3-row,manual,9,1,1.905,no lesion,no lesion,,
2018-11-07,1,3-row,manual,9,1,6.35,no lesion,no lesion,,
2018-11-28,1,3-row,manual,9,1,8.255,no lesion,no lesion,,
2018-10-17,1,3-row,manual,10,0,lesion later,no lesion,no lesion,no data now yes later,
2018-11-07,1,3-row,manual,10,0,lesion later,no lesion,no lesion,no data now yes later,
2018-11-28,1,3-row,manual,10,1,15.24,no lesion,no lesion,,
2018-10-17,2,3-row,manual,1,1,1.905,no lesion,no lesion,,
2018-11-07,2,3-row,manual,1,1,2.54,no lesion,no lesion,,
2018-11-28,2,3-row,manual,1,1,4.1275,no lesion,no lesion,,
2018-10-17,2,3-row,manual,2,0,lesion later,no lesion,no lesion,no data now yes later,
2018-11-07,2,3-row,manual,2,1,6.985,no lesion,no lesion,,
2018-11-28,2,3-row,manual,2,1,9.2075,no lesion,no lesion,,
2018-10-17,2,3-row,manual,3,0,lesion later,no lesion,no lesion,no data now yes later,
2018-11-07,2,3-row,manual,3,1,8.255,no lesion,no lesion,,
2018-11-28,2,3-row,manual,3,1,20.32,no lesion,no lesion,,
2018-10-17,2,3-row,manual,4,0,lesion later,no lesion,no lesion,no data now yes later,
2018-11-07,2,3-row,manual,4,0,lesion later,no lesion,no lesion,no data now yes later,
2018-11-28,2,3-row,manual,4,1,13.335,no lesion,no lesion,,
